Provincia;Estadisticos;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Anual
Salamanca;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,3;1,9;1,0;1,0;1,0;1,0;1,0
Salamanca;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,3;3,4;3,3;1,0;1,0;1,0;1,0;1,0
Salamanca;Mediana;1,0;1,0;1,0;1,0;1,4;2,0;4,0;4,2;1,3;1,0;1,0;1,0;1,0
Salamanca;Media;1,0;1,2;1,0;1,0;1,7;2,4;3,9;3,8;1,8;1,1;1,0;1,0;1,8
Salamanca;Cuartil_3;1,0;1,3;1,0;1,0;2,2;3,4;4,8;4,5;2,2;1,0;1,0;1,0;2,2
Salamanca;Maximo;1,1;2,3;1,1;1,1;3,2;4,9;5,0;5,0;4,4;2,6;1,0;1,0;5,0
Santa Cruz de Tenerife;Minimo;1,0;1,0;1,0;1,0;1,0;1,1;1,7;1,1;1,0;1,0;1,0;1,0;1,0
Santa Cruz de Tenerife;Cuartil_1;1,0;1,0;1,0;1,0;1,3;1,8;2,8;1,8;1,0;1,0;1,1;1,0;1,0
Santa Cruz de Tenerife;Mediana;1,0;1,0;1,0;1,0;1,5;2,2;3,0;2,9;1,1;1,0;1,2;1,0;1,1
Santa Cruz de Tenerife;Media;1,3;1,1;1,0;1,2;1,5;2,2;3,2;2,7;1,2;1,0;1,3;1,0;1,6
Santa Cruz de Tenerife;Cuartil_3;1,5;1,1;1,1;1,1;1,7;2,6;3,7;3,5;1,3;1,0;1,5;1,0;1,8
Santa Cruz de Tenerife;Maximo;2,3;1,4;1,3;2,3;2,3;3,1;4,7;4,0;1,9;1,2;2,2;1,3;4,7
Cantabria;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0
Cantabria;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,0;1,5;1,6;1,2;1,3;1,0;1,0;1,0
Cantabria;Mediana;1,1;1,1;1,0;1,0;1,9;1,1;3,4;3,4;2,6;2,0;1,0;1,0;1,3
Cantabria;Media;1,5;1,3;1,4;1,6;2,2;1,7;3,0;3,0;2,6;2,4;1,4;1,2;1,9
Cantabria;Cuartil_3;1,7;1,4;1,7;1,8;3,3;1,4;4,5;4,2;3,7;3,4;1,1;1,1;2,7
Cantabria;Maximo;3,7;2,1;3,2;4,0;4,3;4,9;5,0;4,9;4,9;4,8;3,9;2,5;5,0
Segovia;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;2,0;1,0;1,0;1,0;1,0;1,0;1,0
Segovia;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,4;3,7;3,2;1,1;1,0;1,0;1,0;1,0
Segovia;Mediana;1,0;1,0;1,0;1,0;1,0;2,6;4,1;4,1;1,6;1,2;1,0;1,0;1,0
Segovia;Media;1,0;1,1;1,0;1,0;1,4;2,7;4,1;3,7;2,1;1,5;1,0;1,0;1,8
Segovia;Cuartil_3;1,0;1,1;1,0;1,0;1,6;3,7;4,8;4,6;3,1;1,8;1,0;1,0;2,3
Segovia;Maximo;1,2;1,7;1,0;1,7;3,5;5,0;5,0;5,0;4,5;3,4;1,0;1,0;5,0
Sevilla;Minimo;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,2;1,0;1,0;1,0;1,0;1,0
Sevilla;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,4;3,4;2,3;1,1;1,0;1,0;1,0;1,0
Sevilla;Mediana;1,0;1,0;1,0;1,0;1,2;3,1;4,5;2,8;1,6;1,2;1,0;1,0;1,0
Sevilla;Media;1,0;1,1;1,0;1,0;1,9;3,2;4,0;2,8;1,7;1,5;1,0;1,0;1,8
Sevilla;Cuartil_3;1,0;1,0;1,0;1,0;2,6;4,3;5,0;3,3;2,2;1,9;1,0;1,0;2,3
Sevilla;Maximo;1,0;2,2;1,2;1,1;4,7;5,0;5,0;4,5;3,5;4,3;1,2;1,0;5,0
Soria;Minimo;1,0;1,0;1,0;1,0;1,0;1,1;1,5;1,4;1,2;1,0;1,0;1,0;1,0
Soria;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,5;3,5;3,2;2,1;1,1;1,0;1,0;1,0
Soria;Mediana;1,0;1,1;1,0;1,0;1,1;3,4;4,0;3,9;2,8;1,8;1,0;1,0;1,1
Soria;Media;1,1;1,3;1,0;1,1;1,7;3,4;4,0;3,6;2,9;2,0;1,0;1,0;2,0
Soria;Cuartil_3;1,0;1,2;1,0;1,0;2,6;4,2;4,7;4,2;3,8;2,7;1,0;1,0;3,0
Soria;Maximo;1,7;2,2;1,1;2,1;4,7;5,0;5,0;5,0;4,9;4,5;1,4;1,0;5,0
Tarragona;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,2;1,0;1,0;1,0;1,0;1,0
Tarragona;Cuartil_1;1,0;1,1;1,0;1,0;1,0;1,8;1,9;2,3;1,1;1,0;1,0;1,0;1,0
Tarragona;Mediana;1,0;1,3;1,0;1,0;1,4;2,6;2,6;2,9;1,2;1,0;1,2;1,0;1,1
Tarragona;Media;1,1;1,5;1,0;1,1;1,6;2,8;2,6;2,8;1,7;1,2;1,5;1,0;1,7
Tarragona;Cuartil_3;1,0;1,9;1,0;1,0;1,8;4,0;3,4;3,3;1,9;1,2;1,6;1,0;2,2
Tarragona;Maximo;3,1;2,8;1,1;2,8;3,5;4,5;3,8;4,6;3,7;2,4;4,3;1,0;4,6
Teruel;Minimo;1,0;1,0;1,0;1,0;1,0;1,1;1,0;1,0;1,0;1,0;1,0;1,0;1,0
Teruel;Cuartil_1;1,0;1,2;1,0;1,0;1,0;2,9;2,8;3,1;1,2;1,1;1,0;1,0;1,0
Teruel;Mediana;1,0;1,5;1,0;1,0;1,3;4,1;3,6;3,7;2,0;1,7;1,0;1,0;1,2
Teruel;Media;1,2;1,6;1,0;1,1;1,9;3,7;3,5;3,6;2,3;1,9;1,4;1,0;2,0
Teruel;Cuartil_3;1,2;1,8;1,0;1,0;2,2;4,5;4,5;4,5;3,6;2,6;1,5;1,0;2,8
Teruel;Maximo;2,7;2,8;1,3;2,0;4,6;5,0;5,0;4,9;4,6;3,4;3,4;1,1;5,0
Toledo;Minimo;1,0;1,0;1,0;1,0;1,0;1,4;2,7;1,5;1,0;1,0;1,0;1,0;1,0
Toledo;Cuartil_1;1,0;1,0;1,0;1,0;1,0;2,3;3,6;2,8;1,0;1,0;1,0;1,0;1,0
Toledo;Mediana;1,0;1,0;1,0;1,0;1,1;3,1;4,5;3,4;1,4;1,0;1,0;1,0;1,0
Toledo;Media;1,0;1,0;1,0;1,0;1,5;3,2;4,2;3,2;1,9;1,2;1,0;1,0;1,8
Toledo;Cuartil_3;1,0;1,0;1,0;1,0;2,0;4,1;4,7;3,9;2,8;1,1;1,0;1,0;2,3
Toledo;Maximo;1,0;1,3;1,0;1,0;4,3;4,9;5,0;4,7;4,0;2,0;1,0;1,0;5,0
Valencia;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
Valencia;Cuartil_1;1,0;1,0;1,0;1,0;1,0;1,8;1,7;3,4;1,0;1,0;1,0;1,0;1,0
Valencia;Mediana;1,0;1,2;1,0;1,0;1,1;2,4;3,3;4,3;1,3;1,0;1,1;1,0;1,0
Valencia;Media;1,2;1,4;1,0;1,0;1,2;2,4;3,0;3,7;2,2;1,1;1,4;1,0;1,7
Valencia;Cuartil_3;1,0;1,8;1,0;1,0;1,3;3,1;3,9;4,6;3,4;1,1;1,3;1,0;1,9
Valencia;Maximo;3,1;2,4;1,1;1,0;2,1;4,6;4,9;4,8;4,9;1,5;3,9;1,1;4,9
Valladolid;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,6;1,4;1,0;1,0;1,0;1,0;1,0
Valladolid;Cuartil_1;1,0;1,0;1,0;1,0;1,1;1,9;3,7;3,1;1,0;1,0;1,0;1,0;1,0
Valladolid;Mediana;1,0;1,0;1,0;1,0;1,6;2,6;4,1;3,9;2,0;1,0;1,0;1,0;1,0
Valladolid;Media;1,0;1,0;1,0;1,1;2,0;2,9;4,1;3,6;2,1;1,3;1,0;1,0;1,9
Valladolid;Cuartil_3;1,0;1,0;1,0;1,0;2,6;4,0;4,8;4,2;2,6;1,4;1,0;1,0;2,5
Valladolid;Maximo;1,0;1,5;1,0;2,6;4,4;5,0;5,0;5,0;4,7;3,9;1,0;1,0;5,0
Bizkaia;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0
Bizkaia;Cuartil_1;1,0;1,0;1,0;1,0;1,1;1,0;1,8;1,6;1,0;1,1;1,0;1,0;1,0
Bizkaia;Mediana;1,0;1,0;1,0;1,0;1,3;1,5;3,2;3,4;3,9;2,7;1,0;1,0;1,1
Bizkaia;Media;1,3;1,0;1,5;1,6;2,2;2,2;3,2;3,3;3,2;2,9;1,6;1,2;2,1
Bizkaia;Cuartil_3;1,0;1,0;1,9;1,6;3,2;3,2;4,8;4,8;4,7;4,8;1,0;1,0;3,2
Bizkaia;Maximo;3,8;1,8;3,9;4,0;4,4;5,0;5,0;5,0;5,0;5,0;4,1;3,0;5,0
Zamora;Minimo;1,0;1,0;1,0;1,0;1,0;1,0;1,9;1,6;1,0;1,0;1,0;1,0;1,0
Zamora;Cuartil_1;1,0;1,0;1,0;1,0;1,4;1,4;3,4;3,4;1,0;1,0;1,0;1,0;1,0
Zamora;Mediana;1,0;1,0;1,0;1,0;2,1;2,4;3,9;3,8;2,1;1,0;1,0;1,0;1,0
Zamora;Media;1,0;1,1;1,0;1,1;2,1;2,6;3,9;3,7;2,2;1,2;1,0;1,0;1,8
Zamora;Cuartil_3;1,0;1,1;1,0;1,1;2,7;3,6;4,5;4,4;2,8;1,2;1,0;1,0;2,5
Zamora;Maximo;1,1;1,9;1,0;1,6;4,5;4,9;5,0;5,0;4,6;3,2;1,0;1,0;5,0
Zaragoza;Minimo;1,0;1,0;1,0;1,0;1,0;1,7;1,0;1,3;1,1;1,0;1,0;1,0;1,0
Zaragoza;Cuartil_1;1,0;1,0;1,0;1,0;1,1;3,1;2,6;2,8;1,7;1,2;1,0;1,0;1,0
Zaragoza;Mediana;1,0;1,2;1,0;1,0;1,7;3,7;3,5;3,4;2,3;1,4;1,0;1,0;1,2
Zaragoza;Media;1,0;1,3;1,0;1,3;2,0;3,6;3,4;3,4;2,4;1,6;1,1;1,0;1,9
Zaragoza;Cuartil_3;1,0;1,3;1,0;1,5;2,8;4,3;4,0;4,2;3,2;2,0;1,1;1,0;2,8
Zaragoza;Maximo;1,6;2,4;1,2;2,9;4,4;5,0;4,9;4,9;4,2;2,8;1,5;1,0;5,0
